id,Name,TotalVotes,Percentage
10,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
10,NIKOLA SUVAJAC - NS,0,0
10,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,0,0
10,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
10,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
10,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
10,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
10,ALEN POPOVIĆ - NOVO DOBA,0,0
10,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
10,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
10,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
11,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,135,45
11,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,90,30
11,SENAD BRATIĆ - POKRET DRŽAVA,38,12.67
11,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,13,4.33
11,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,7,2.33
11,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,6,2
11,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,5,1.67
11,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,1,0.33
11,BEGIĆ IVAN - NEZAVISNI KANDIDAT,1,0.33
11,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,1,0.33
11,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,1,0.33
11,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,1,0.33
11,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,1,0.33
11,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
11,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,0,0
11,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
11,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
11,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
11,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,0,0
11,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
11,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
11,NIKOLA SUVAJAC - NS,0,0
11,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
11,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
11,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
11,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
11,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
11,ALEN POPOVIĆ - NOVO DOBA,0,0
11,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
11,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
11,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
12,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,235,49.89
12,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,216,45.86
12,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,5,1.06
12,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",3,0.64
12,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,3,0.64
12,BEGIĆ IVAN - NEZAVISNI KANDIDAT,2,0.42
12,ALEN POPOVIĆ - NOVO DOBA,1,0.21
12,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.21
12,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,1,0.21
12,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.21
12,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,1,0.21
12,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,1,0.21
12,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,1,0.21
12,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
12,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
12,SENAD BRATIĆ - POKRET DRŽAVA,0,0
12,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
12,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
12,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,0,0
12,NIKOLA SUVAJAC - NS,0,0
12,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
12,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
12,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
12,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
12,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
