id,Name,TotalVotes,Percentage
16,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,103,32.49
16,PDP - PARTIJA DEMOKRATSKOG PROGRESA,73,23.03
16,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,54,17.03
16,SDS-SRPSKA DEMOKRATSKA STRANKA,36,11.36
16,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,23,7.26
16,UJEDINJENA SRPSKA,16,5.05
16,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,7,2.21
16,DNS-DEMOKRATSKI NARODNI SAVEZ,2,0.63
16,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.32
16,RADNIČKA PARTIJA,1,0.32
16,STRANKA ŽIVOT,1,0.32
16,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
16,SELJAČKA STRANKA,0,0
16,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
16,POKRET ZA DRŽAVU,0,0
16,ZA DRŽAVU BIH,0,0
16,SAVEZ ZA NOVU POLITIKU,0,0
16,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
16,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
16,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
16,DEMOKRATSKI SAVEZ-DEMOS,0,0
16,SLOBODNA STRANKA SRPSKE,0,0
16,PNP - POTKOZARSKI NARODNI POKRET,0,0
16,SRPSKA NAPREDNA STRANKA FBIH,0,0
16,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
16,OTADŽBINSKA STRANKA,0,0
17,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,111,45.68
17,SDS-SRPSKA DEMOKRATSKA STRANKA,57,23.46
17,PDP - PARTIJA DEMOKRATSKOG PROGRESA,23,9.47
17,POKRET ZA DRŽAVU,11,4.53
17,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,10,4.12
